model,starship_class,manufacturer,cost_in_credits,length,crew,passengers,max_atmosphering_speed,hyperdrive_rating,MGLT,cargo_capacity,consumables,pilots,created,edited,name,url
CR90 corvette,corvette,Corellian Engineering Corporation,3500000,150,30-165,600,950,2.0,60,3000000,1 year,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,CR90 corvette,https://www.swapi.tech/api/starships/2
Imperial I-class Star Destroyer,Star Destroyer,Kuat Drive Yards,150000000,"1,600","47,060",n/a,975,2.0,60,36000000,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Star Destroyer,https://www.swapi.tech/api/starships/3
Sentinel-class landing craft,landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,5,75,1000,1.0,70,180000,1 month,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Sentinel-class landing craft,https://www.swapi.tech/api/starships/5
DS-1 Orbital Battle Station,Deep Space Mobile Battlestation,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,"342,953","843,342",n/a,4.0,10,1000000000000,3 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Death Star,https://www.swapi.tech/api/starships/9
BTL Y-wing,assault starfighter,Koensayr Manufacturing,134999,14,2,0,1000km,1.0,80,110,1 week,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Y-wing,https://www.swapi.tech/api/starships/11
YT-1300 light freighter,Light freighter,Corellian Engineering Corporation,100000,34.37,4,6,1050,0.5,75,100000,2 months,"['https://www.swapi.tech/api/people/13', 'https://www.swapi.tech/api/people/14', 'https://www.swapi.tech/api/people/25', 'https://www.swapi.tech/api/people/31']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Millennium Falcon,https://www.swapi.tech/api/starships/10
Twin Ion Engine Advanced x1,Starfighter,Sienar Fleet Systems,unknown,9.2,1,0,1200,1.0,105,150,5 days,['https://www.swapi.tech/api/people/4'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,TIE Advanced x1,https://www.swapi.tech/api/starships/13
Executor-class star dreadnought,Star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,"279,144",38000,n/a,2.0,40,250000000,6 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Executor,https://www.swapi.tech/api/starships/15
T-65 X-wing,Starfighter,Incom Corporation,149999,12.5,1,0,1050,1.0,100,110,1 week,"['https://www.swapi.tech/api/people/1', 'https://www.swapi.tech/api/people/9', 'https://www.swapi.tech/api/people/18', 'https://www.swapi.tech/api/people/19']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,X-wing,https://www.swapi.tech/api/starships/12
GR-75 medium transport,Medium transport,"Gallofree Yards, Inc.",unknown,90,6,90,650,4.0,20,19000000,6 months,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Rebel transport,https://www.swapi.tech/api/starships/17
Firespray-31-class patrol and attack,Patrol craft,Kuat Systems Engineering,unknown,21.5,1,6,1000,3.0,70,70000,1 month,['https://www.swapi.tech/api/people/22'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Slave 1,https://www.swapi.tech/api/starships/21
Lambda-class T-4a shuttle,Armed government transport,Sienar Fleet Systems,240000,20,6,20,850,1.0,50,80000,2 months,"['https://www.swapi.tech/api/people/1', 'https://www.swapi.tech/api/people/13', 'https://www.swapi.tech/api/people/14']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Imperial shuttle,https://www.swapi.tech/api/starships/22
EF76 Nebulon-B escort frigate,Escort ship,Kuat Drive Yards,8500000,300,854,75,800,2.0,40,6000000,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,EF76 Nebulon-B escort frigate,https://www.swapi.tech/api/starships/23
RZ-1 A-wing Interceptor,Starfighter,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1,0,1300,1.0,120,40,1 week,['https://www.swapi.tech/api/people/29'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,A-wing,https://www.swapi.tech/api/starships/28
MC80 Liberty type Star Cruiser,Star Cruiser,Mon Calamari shipyards,104000000,1200,5400,1200,n/a,1.0,60,unknown,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Calamari Cruiser,https://www.swapi.tech/api/starships/27
A/SF-01 B-wing starfighter,Assault Starfighter,Slayn & Korpil,220000,16.9,1,0,950,2.0,91,45,1 week,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,B-wing,https://www.swapi.tech/api/starships/29
Consular-class cruiser,Space cruiser,Corellian Engineering Corporation,unknown,115,9,16,900,2.0,unknown,unknown,unknown,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Republic Cruiser,https://www.swapi.tech/api/starships/31
Lucrehulk-class Droid Control Ship,Droid control ship,"Hoersch-Kessel Drive, Inc.",unknown,3170,175,139000,n/a,2.0,unknown,4000000000,500 days,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Droid control ship,https://www.swapi.tech/api/starships/32
N-1 starfighter,Starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1,0,1100,1.0,unknown,65,7 days,"['https://www.swapi.tech/api/people/11', 'https://www.swapi.tech/api/people/35', 'https://www.swapi.tech/api/people/60']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Naboo fighter,https://www.swapi.tech/api/starships/39
J-type 327 Nubian royal starship,yacht,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",unknown,76,8,unknown,920,1.8,unknown,unknown,unknown,['https://www.swapi.tech/api/people/39'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Naboo Royal Starship,https://www.swapi.tech/api/starships/40
J-type diplomatic barge,Diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,5,10,2000,0.7,unknown,unknown,1 year,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,J-type diplomatic barge,https://www.swapi.tech/api/starships/43
Star Courier,Space Transport,Republic Sienar Systems,55000000,26.5,1,6,1180,1.5,unknown,2500000,30 days,['https://www.swapi.tech/api/people/44'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Scimitar,https://www.swapi.tech/api/starships/41
Botajef AA-9 Freighter-Liner,freighter,Botajef Shipyards,unknown,390,unknown,30000,unknown,unknown,unknown,unknown,unknown,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,AA-9 Coruscant freighter,https://www.swapi.tech/api/starships/47
Delta-7 Aethersprite-class interceptor,Starfighter,Kuat Systems Engineering,180000,8,1,0,1150,1.0,unknown,60,7 days,"['https://www.swapi.tech/api/people/10', 'https://www.swapi.tech/api/people/58']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Jedi starfighter,https://www.swapi.tech/api/starships/48
Acclamator I-class assault ship,assault ship,Rothana Heavy Engineering,unknown,752,700,16000,unknown,0.6,unknown,11250000,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Republic Assault ship,https://www.swapi.tech/api/starships/52
H-type Nubian yacht,yacht,Theed Palace Space Vessel Engineering Corps,unknown,47.9,4,unknown,8000,0.9,unknown,unknown,unknown,['https://www.swapi.tech/api/people/35'],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,H-type Nubian yacht,https://www.swapi.tech/api/starships/49
Providence-class carrier/destroyer,capital ship,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,600,48247,1050,1.5,unknown,50000000,4 years,"['https://www.swapi.tech/api/people/10', 'https://www.swapi.tech/api/people/11']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Trade Federation cruiser,https://www.swapi.tech/api/starships/59
Punworcca 116-class interstellar sloop,yacht,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,3,11,1600,1.5,unknown,240,7 days,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Solar Sailer,https://www.swapi.tech/api/starships/58
Theta-class T-2c shuttle,transport,Cygnus Spaceworks,1000000,18.5,5,16,2000,1.0,unknown,50000,56 days,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Theta-class T-2c shuttle,https://www.swapi.tech/api/starships/61
Senator-class Star Destroyer,star destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,7400,2000,975,1.0,unknown,20000000,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Republic attack cruiser,https://www.swapi.tech/api/starships/63
J-type star skiff,yacht,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",unknown,29.2,3,3,1050,0.5,unknown,unknown,unknown,"['https://www.swapi.tech/api/people/10', 'https://www.swapi.tech/api/people/35']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Naboo star skiff,https://www.swapi.tech/api/starships/64
Eta-2 Actis-class light interceptor,starfighter,Kuat Systems Engineering,320000,5.47,1,0,1500,1.0,unknown,60,2 days,"['https://www.swapi.tech/api/people/10', 'https://www.swapi.tech/api/people/11']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Jedi Interceptor,https://www.swapi.tech/api/starships/65
Aggressive Reconnaissance-170 starfighte,starfighter,"Incom Corporation, Subpro Corporation",155000,14.5,3,0,1000,1.0,100,110,5 days,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,arc-170,https://www.swapi.tech/api/starships/66
Munificent-class star frigate,cruiser,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,200,unknown,unknown,1.0,unknown,40000000,2 years,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Banking clan frigte,https://www.swapi.tech/api/starships/68
Belbullab-22 starfighter,starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1,0,1100,6,unknown,140,7 days,"['https://www.swapi.tech/api/people/10', 'https://www.swapi.tech/api/people/79']",2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,Belbullab-22 starfighter,https://www.swapi.tech/api/starships/74
Alpha-3 Nimbus-class V-wing starfighter,starfighter,Kuat Systems Engineering,102500,7.9,1,0,1050,1.0,unknown,60,15 hours,[],2020-09-17T17:55:06.604Z,2020-09-17T17:55:06.604Z,V-wing,https://www.swapi.tech/api/starships/75
